Distrito,Departamento,SINDROME Y/O TRASTORNO PSICOTICO,TRASTORNO DE CONSUMO DE ALCOHOL,TRASTORNO DE CONSUMO DE DROGAS,TRASTORNO DE CONSUMO DE TABACO,TRASTORNO DEPRESIVO,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,SOLO TAMIZAJES POSITIVOS,TAMIZAJES C/CONDICION ADICIONAL VIOLENCIA POLITICA,TOTAL DE TAMIZAJES,TOTAL GENERALIZADO,Ratio T PSICOTICO positivo,Ratio T ALCOHOL positivo,Ratio T DROGAS positivo,Ratio T TABACO positivo,Ratio T DEPRESIVO positivo,Ratio VIOLENCIA positivo,Ratio Tamizaje Nopositivo,Ratio Tamizaje positivo,Ratio Tamizaje positivo condicion,Cluster
ACOPAMPA,ANCASH,12.0,2.0,0.0,0.0,12.0,13.0,39.0,0.0,520.0,559.0,0.0001410420657961237,2.3507010966020617e-05,0.0,0.0,0.0001410420657961237,0.000152795571279134,0.0002451583581556171,1.8386876861671282e-05,0.0,0
ANTA,ANCASH,0.0,8.0,0.0,3.0,0.0,7.0,18.0,0.0,854.0,872.0,0.0,9.402804386408247e-05,0.0,3.5260516449030925e-05,0.0,8.227453838107215e-05,0.0004026254574324942,8.4862508592329e-06,0.0,0
ATAQUERO,ANCASH,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,815.0,816.0,0.0,0.0,0.0,0.0,0.0,1.1753505483010308e-05,0.00038423858057082293,4.7145838106849444e-07,0.0,0
CAJACAY,ANCASH,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,522.0,523.0,0.0,1.1753505483010308e-05,0.0,0.0,0.0,0.0,0.00024610127491775407,4.7145838106849444e-07,0.0,0
CARHUAZ,ANCASH,6.0,34.0,3.0,0.0,33.0,89.0,165.0,0.0,2552.0,2717.0,7.052103289806185e-05,0.00039961918642235047,3.5260516449030925e-05,0.0,0.00038786568093934017,0.0010460619879879174,0.0012031617884867977,7.779063287630158e-05,0.0,0
CASCAPARA,ANCASH,0.0,6.0,0.0,0.0,0.0,6.0,12.0,0.0,337.0,349.0,0.0,7.052103289806185e-05,0.0,0.0,0.0,7.052103289806185e-05,0.00015888147442008263,5.657500572821933e-06,0.0,0
CASMA,ANCASH,0.0,39.0,10.0,1.0,20.0,96.0,166.0,0.0,1951.0,2117.0,0.0,0.00045838671383740203,0.00011753505483010308,1.1753505483010308e-05,0.00023507010966020617,0.0011283365263689896,0.0009198153014646326,7.826209125737007e-05,0.0,0
CATAC,ANCASH,0.0,3.0,0.0,0.0,0.0,8.0,11.0,0.0,754.0,765.0,0.0,3.5260516449030925e-05,0.0,0.0,0.0,9.402804386408247e-05,0.00035547961932564477,5.186042191753439e-06,0.0,0
CHAVIN DE HUANTAR,ANCASH,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,536.0,539.0,0.0,2.3507010966020617e-05,0.0,0.0,0.0,1.1753505483010308e-05,0.00025270169225271303,1.4143751432054833e-06,0.0,0
CHIMBOTE,ANCASH,0.0,2.0,1.0,0.0,43.0,0.0,46.0,0.0,5605.0,5651.0,0.0,2.3507010966020617e-05,1.1753505483010308e-05,0.0,0.0005054007357694432,0.0,0.002642524225888911,2.1687085529150742e-05,0.0,0
CHIQUIAN,ANCASH,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,102.0,103.0,0.0,1.1753505483010308e-05,0.0,0.0,0.0,0.0,4.808875486898643e-05,4.7145838106849444e-07,0.0,0
COISHCO,ANCASH,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,266.0,267.0,0.0,0.0,0.0,0.0,0.0,1.1753505483010308e-05,0.00012540792936421952,4.7145838106849444e-07,0.0,0
COLQUIOC,ANCASH,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,117.0,118.0,0.0,0.0,0.0,0.0,0.0,1.1753505483010308e-05,5.5160630585013846e-05,4.7145838106849444e-07,0.0,0
COTAPARACO,ANCASH,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,115.0,117.0,0.0,2.3507010966020617e-05,0.0,0.0,0.0,0.0,5.421771382287686e-05,9.429167621369889e-07,0.0,0
HUARAZ,ANCASH,43.0,24.0,9.0,4.0,58.0,110.0,248.0,0.0,2593.0,2841.0,0.0005054007357694432,0.0002820841315922474,0.00010578154934709277,4.701402193204123e-05,0.0006817033180145978,0.001292885603131134,0.001222491582110606,0.00011692167850498661,0.0,0
HUARMEY,ANCASH,0.0,7.0,1.0,0.0,155.0,95.0,258.0,0.0,1196.0,1454.0,0.0,8.227453838107215e-05,1.1753505483010308e-05,0.0,0.0018217933498665977,0.0011165830208859793,0.0005638642237579193,0.00012163626231567156,0.0,0
HUAYLLAN,ANCASH,2.0,1.0,0.0,0.0,2.0,1.0,6.0,0.0,249.0,255.0,2.3507010966020617e-05,1.1753505483010308e-05,0.0,0.0,2.3507010966020617e-05,1.1753505483010308e-05,0.00011739313688605511,2.8287502864109666e-06,0.0,0
INDEPENDENCIA,ANCASH,3.0,31.0,1.0,1.0,1.0,18.0,55.0,0.0,1790.0,1845.0,3.5260516449030925e-05,0.00036435866997331956,1.1753505483010308e-05,1.1753505483010308e-05,1.1753505483010308e-05,0.00021156309869418554,0.000843910502112605,2.5930210958767193e-05,0.0,0
JANGAS,ANCASH,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,195.0,197.0,0.0,2.3507010966020617e-05,0.0,0.0,0.0,0.0,9.193438430835641e-05,9.429167621369889e-07,0.0,0
MANCOS,ANCASH,2.0,4.0,0.0,1.0,7.0,7.0,21.0,0.0,316.0,337.0,2.3507010966020617e-05,4.701402193204123e-05,0.0,1.1753505483010308e-05,8.227453838107215e-05,8.227453838107215e-05,0.00014898084841764424,9.900626002438383e-06,0.0,0
MARCARA,ANCASH,0.0,12.0,0.0,0.0,9.0,5.0,26.0,0.0,1368.0,1394.0,0.0,0.0001410420657961237,0.0,0.0,0.00010578154934709277,5.876752741505154e-05,0.0006449550653017004,1.2257917907780854e-05,0.0,0
MATO,ANCASH,7.0,4.0,1.0,1.0,62.0,104.0,179.0,0.0,629.0,808.0,8.227453838107215e-05,4.701402193204123e-05,1.1753505483010308e-05,1.1753505483010308e-05,0.0007287173399466391,0.001222364570233072,0.000296547321692083,8.43910502112605e-05,0.0,0
NUEVO CHIMBOTE,ANCASH,39.0,51.0,29.0,17.0,767.0,118.0,1021.0,1.0,12158.0,13180.0,0.00045838671383740203,0.0005994287796335256,0.0003408516590072989,0.00019980959321117523,0.009014938705468906,0.0013869136469952163,0.005731990997030755,0.0004813590070709328,4.7145838106849444e-07,2
PACLLON,ANCASH,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,413.0,422.0,0.0,0.00010578154934709277,0.0,0.0,0.0,0.0,0.0001947123113812882,4.24312542961645e-06,0.0,0
PARIAHUANCA,ANCASH,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,88.0,97.0,0.0,0.00010578154934709277,0.0,0.0,0.0,0.0,4.148833753402751e-05,4.24312542961645e-06,0.0,0
PAROBAMBA,ANCASH,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,117.0,118.0,0.0,1.1753505483010308e-05,0.0,0.0,0.0,0.0,5.5160630585013846e-05,4.7145838106849444e-07,0.0,0
PAUCAS,ANCASH,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,452.0,455.0,0.0,0.0,0.0,0.0,0.0,3.5260516449030925e-05,0.00021309918824295948,1.4143751432054833e-06,0.0,0
PISCOBAMBA,ANCASH,0.0,1.0,0.0,0.0,0.0,6.0,7.0,0.0,572.0,579.0,0.0,1.1753505483010308e-05,0.0,0.0,0.0,7.052103289806185e-05,0.0002696741939711788,3.300208667479461e-06,0.0,0
PUEBLO LIBRE,ANCASH,0.0,13.0,1.0,0.0,0.0,0.0,14.0,0.0,690.0,704.0,0.0,0.000152795571279134,1.1753505483010308e-05,0.0,0.0,0.0,0.00032530628293726116,6.600417334958922e-06,0.0,0
RAHUAPAMPA,ANCASH,0.0,5.0,0.0,0.0,4.0,4.0,13.0,0.0,506.0,519.0,0.0,5.876752741505154e-05,0.0,0.0,4.701402193204123e-05,4.701402193204123e-05,0.00023855794082065817,6.128958953890427e-06,0.0,0
RECUAY,ANCASH,2.0,12.0,0.0,0.0,9.0,31.0,54.0,1.0,1403.0,1458.0,2.3507010966020617e-05,0.0001410420657961237,0.0,0.0,0.00010578154934709277,0.00036435866997331956,0.0006614561086390977,2.54587525776987e-05,4.7145838106849444e-07,0
SAMANCO,ANCASH,1.0,1.0,0.0,0.0,9.0,1.0,12.0,0.0,1296.0,1308.0,1.1753505483010308e-05,1.1753505483010308e-05,0.0,0.0,0.00010578154934709277,1.1753505483010308e-05,0.0006110100618647688,5.657500572821933e-06,0.0,0
SAN JUAN,ANCASH,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,149.0,151.0,0.0,1.1753505483010308e-05,0.0,1.1753505483010308e-05,0.0,0.0,7.024729877920567e-05,9.429167621369889e-07,0.0,0
SAN LUIS,ANCASH,0.0,20.0,0.0,0.0,5.0,4.0,29.0,0.0,421.0,450.0,0.0,0.00023507010966020617,0.0,0.0,5.876752741505154e-05,4.701402193204123e-05,0.00019848397842983615,1.3672293050986339e-05,0.0,0
SAN MIGUEL DE ACO,ANCASH,0.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,386.0,390.0,0.0,2.3507010966020617e-05,0.0,0.0,1.1753505483010308e-05,1.1753505483010308e-05,0.00018198293509243886,1.8858335242739777e-06,0.0,0
SANTA,ANCASH,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1932.0,1933.0,0.0,0.0,0.0,0.0,0.0,1.1753505483010308e-05,0.0009108575922243313,4.7145838106849444e-07,0.0,0
SANTA CRUZ,ANCASH,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,442.0,444.0,0.0,2.3507010966020617e-05,0.0,0.0,0.0,0.0,0.00020838460443227454,9.429167621369889e-07,0.0,0
TAPACOCHA,ANCASH,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,172.0,175.0,0.0,3.5260516449030925e-05,0.0,0.0,0.0,0.0,8.109084154378104e-05,1.4143751432054833e-06,0.0,0
TARICA,ANCASH,0.0,5.0,0.0,0.0,0.0,2.0,7.0,0.0,158.0,165.0,0.0,5.876752741505154e-05,0.0,0.0,0.0,2.3507010966020617e-05,7.449042420882212e-05,3.300208667479461e-06,0.0,0
TICAPAMPA,ANCASH,0.0,14.0,0.0,0.0,0.0,1.0,15.0,0.0,654.0,669.0,0.0,0.0001645490767621443,0.0,0.0,0.0,1.1753505483010308e-05,0.0003083337812187954,7.071875716027416e-06,0.0,0
TINCO,ANCASH,0.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,766.0,770.0,0.0,1.1753505483010308e-05,0.0,0.0,1.1753505483010308e-05,2.3507010966020617e-05,0.00036113711989846673,1.8858335242739777e-06,0.0,0
YANAMA,ANCASH,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,25.0,27.0,0.0,0.0,0.0,0.0,0.0,2.3507010966020617e-05,1.178645952671236e-05,9.429167621369889e-07,0.0,0
YUNGAR,ANCASH,0.0,22.0,4.0,0.0,0.0,2.0,28.0,0.0,2070.0,2098.0,0.0,0.0002585771206262268,4.701402193204123e-05,0.0,0.0,2.3507010966020617e-05,0.0009759188488117834,1.3200834669917843e-05,0.0,0
ABANCAY,APURIMAC,13.0,114.0,16.0,0.0,104.0,78.0,325.0,3.0,18104.0,18432.0,0.000152795571279134,0.0013398996250631751,0.00018805608772816493,0.0,0.001222364570233072,0.0009167734276748041,0.008535282530864023,0.0001532239738472607,1.4143751432054833e-06,1
ANCO-HUALLO,APURIMAC,1.0,1.0,0.0,0.0,36.0,55.0,93.0,13.0,4788.0,4894.0,1.1753505483010308e-05,1.1753505483010308e-05,0.0,0.0,0.00042312619738837107,0.000646442801565567,0.002257342728555951,4.384562943936998e-05,6.128958953890427e-06,0
ANDAHUAYLAS,APURIMAC,0.0,42.0,6.0,0.0,12.0,59.0,119.0,2.0,7310.0,7431.0,0.0,0.0004936472302864329,7.052103289806185e-05,0.0,0.0001410420657961237,0.0006934568234976082,0.003446360765610694,5.6103547347150834e-05,9.429167621369889e-07,1
ANDARAPA,APURIMAC,0.0,13.0,0.0,0.0,2.0,2.0,17.0,8.0,2919.0,2944.0,0.0,0.000152795571279134,0.0,0.0,2.3507010966020617e-05,2.3507010966020617e-05,0.0013761870143389353,8.014792478164405e-06,3.7716670485479555e-06,0
ANTABAMBA,APURIMAC,1.0,16.0,0.0,0.0,12.0,38.0,67.0,41.0,8126.0,8234.0,1.1753505483010308e-05,0.00018805608772816493,0.0,0.0,0.0001410420657961237,0.0004466332083543917,0.0038310708045625856,3.158771153158913e-05,1.932979362380827e-05,1
CAPAYA,APURIMAC,1.0,0.0,0.0,0.0,2.0,8.0,11.0,8.0,738.0,757.0,1.1753505483010308e-05,0.0,0.0,0.0,2.3507010966020617e-05,9.402804386408247e-05,0.00034793628522854887,5.186042191753439e-06,3.7716670485479555e-06,0
CARAYBAMBA,APURIMAC,0.0,8.0,0.0,0.0,2.0,4.0,14.0,3.0,805.0,822.0,0.0,9.402804386408247e-05,0.0,0.0,2.3507010966020617e-05,4.701402193204123e-05,0.000379523996760138,6.600417334958922e-06,1.4143751432054833e-06,0
CHACOCHE,APURIMAC,1.0,2.0,0.0,0.0,6.0,16.0,25.0,0.0,1273.0,1298.0,1.1753505483010308e-05,2.3507010966020617e-05,0.0,0.0,7.052103289806185e-05,0.00018805608772816493,0.0006001665191001933,1.178645952671236e-05,0.0,0
CHALHUANCA,APURIMAC,2.0,10.0,0.0,0.0,51.0,43.0,106.0,6.0,2098.0,2210.0,2.3507010966020617e-05,0.00011753505483010308,0.0,0.0,0.0005994287796335256,0.0005054007357694432,0.0009891196834817012,4.997458839326041e-05,2.8287502864109666e-06,0
CHALLHUAHUACHO,APURIMAC,0.0,11.0,1.0,0.0,21.0,80.0,113.0,0.0,5952.0,6065.0,0.0,0.0001292885603131134,1.1753505483010308e-05,0.0,0.00024682361514321644,0.0009402804386408247,0.002806120284119679,5.327479706073987e-05,0.0,1
CHAPIMARCA,APURIMAC,1.0,6.0,1.0,0.0,7.0,53.0,68.0,4.0,1650.0,1722.0,1.1753505483010308e-05,7.052103289806185e-05,1.1753505483010308e-05,0.0,8.227453838107215e-05,0.0006229357905995464,0.0007779063287630158,3.205916991265762e-05,1.8858335242739777e-06,0
CHIARA,APURIMAC,1.0,0.0,0.0,0.0,1.0,5.0,7.0,0.0,617.0,624.0,1.1753505483010308e-05,0.0,0.0,0.0,1.1753505483010308e-05,5.876752741505154e-05,0.00029088982111926103,3.300208667479461e-06,0.0,0
CHINCHEROS,APURIMAC,3.0,17.0,0.0,1.0,67.0,233.0,321.0,0.0,3015.0,3336.0,3.5260516449030925e-05,0.00019980959321117523,0.0,1.1753505483010308e-05,0.0007874848673616906,0.002738566777541402,0.0014214470189215106,0.0001513381403229867,0.0,1
CHUQUIBAMBILLA,APURIMAC,1.0,28.0,1.0,0.0,131.0,182.0,343.0,70.0,2731.0,3144.0,1.1753505483010308e-05,0.0003290981535242886,1.1753505483010308e-05,0.0,0.0015397092182743504,0.002139137997907876,0.0012875528386980582,0.0001617102247064936,3.300208667479461e-05,1
CIRCA,APURIMAC,0.0,0.0,0.0,0.0,2.0,12.0,14.0,0.0,1421.0,1435.0,0.0,0.0,0.0,0.0,2.3507010966020617e-05,0.0001410420657961237,0.0006699423594983306,6.600417334958922e-06,0.0,0
COCHARCAS,APURIMAC,0.0,0.0,0.0,0.0,0.0,19.0,19.0,3.0,1059.0,1081.0,0.0,0.0,0.0,0.0,0.0,0.00022331660417719584,0.0004992744255515356,8.957709240301394e-06,1.4143751432054833e-06,0
COLCABAMBA,APURIMAC,0.0,0.0,0.0,0.0,1.0,11.0,12.0,13.0,346.0,371.0,0.0,0.0,0.0,0.0,1.1753505483010308e-05,0.0001292885603131134,0.00016312459984969908,5.657500572821933e-06,6.128958953890427e-06,0
COTABAMBAS,APURIMAC,0.0,8.0,2.0,0.0,44.0,47.0,101.0,5.0,2468.0,2574.0,0.0,9.402804386408247e-05,2.3507010966020617e-05,0.0,0.0005171542412524536,0.0005524147577014844,0.0011635592844770441,4.761729648791794e-05,2.357291905342472e-06,0
COTARUSE,APURIMAC,1.0,14.0,0.0,0.0,34.0,11.0,60.0,17.0,2777.0,2854.0,1.1753505483010308e-05,0.0001645490767621443,0.0,0.0,0.00039961918642235047,0.0001292885603131134,0.0013092399242272089,2.8287502864109665e-05,8.014792478164405e-06,0
COYLLURQUI,APURIMAC,0.0,0.0,0.0,2.0,2.0,30.0,34.0,9.0,5067.0,5110.0,0.0,0.0,0.0,2.3507010966020617e-05,2.3507010966020617e-05,0.00035260516449030926,0.0023888796168740614,1.602958495632881e-05,4.24312542961645e-06,0
CURAHUASI,APURIMAC,3.0,29.0,3.0,0.0,17.0,45.0,97.0,1.0,7557.0,7655.0,3.5260516449030925e-05,0.0003408516590072989,3.5260516449030925e-05,0.0,0.00019980959321117523,0.0005289077467354638,0.0035628109857346124,4.5731462963643956e-05,4.7145838106849444e-07,1
CURASCO,APURIMAC,0.0,2.0,0.0,0.0,1.0,7.0,10.0,0.0,1233.0,1243.0,0.0,2.3507010966020617e-05,0.0,0.0,1.1753505483010308e-05,8.227453838107215e-05,0.0005813081838574536,4.714583810684944e-06,0.0,0
CURPAHUASI,APURIMAC,0.0,3.0,0.0,0.0,9.0,15.0,27.0,3.0,1841.0,1871.0,0.0,3.5260516449030925e-05,0.0,0.0,0.00010578154934709277,0.00017630258224515463,0.0008679548795470982,1.272937628884935e-05,1.4143751432054833e-06,0
EL ORO,APURIMAC,0.0,4.0,0.0,0.0,4.0,3.0,11.0,0.0,1015.0,1026.0,0.0,4.701402193204123e-05,0.0,0.0,4.701402193204123e-05,3.5260516449030925e-05,0.00047853025678452183,5.186042191753439e-06,0.0,0
GAMARRA,APURIMAC,1.0,9.0,0.0,1.0,30.0,69.0,110.0,4.0,3129.0,3243.0,1.1753505483010308e-05,0.00010578154934709277,0.0,1.1753505483010308e-05,0.00035260516449030926,0.0008109918783277113,0.001475193274363319,5.1860421917534386e-05,1.8858335242739777e-06,0
HAQUIRA,APURIMAC,1.0,0.0,0.0,0.0,20.0,19.0,40.0,1.0,5804.0,5845.0,1.1753505483010308e-05,0.0,0.0,0.0,0.00023507010966020617,0.00022331660417719584,0.0027363444437215416,1.8858335242739776e-05,4.7145838106849444e-07,0
HUACCANA,APURIMAC,1.0,21.0,0.0,0.0,34.0,57.0,113.0,1.0,4462.0,4576.0,1.1753505483010308e-05,0.00024682361514321644,0.0,0.0,0.00039961918642235047,0.0006699498125315876,0.002103647296327622,5.327479706073987e-05,4.7145838106849444e-07,0
HUANCARAMA,APURIMAC,2.0,14.0,5.0,0.0,26.0,57.0,104.0,0.0,4124.0,4228.0,2.3507010966020617e-05,0.0001645490767621443,5.876752741505154e-05,0.0,0.000305591142558268,0.0006699498125315876,0.001944294363526471,4.9031671631123416e-05,0.0,0
HUANCARAY,APURIMAC,0.0,17.0,0.0,0.0,0.0,14.0,31.0,0.0,1897.0,1928.0,0.0,0.00019980959321117523,0.0,0.0,0.0,0.0001645490767621443,0.0008943565488869339,1.4615209813123326e-05,0.0,0
HUANIPACA,APURIMAC,0.0,8.0,0.0,0.0,16.0,27.0,51.0,1.0,2700.0,2752.0,0.0,9.402804386408247e-05,0.0,0.0,0.00018805608772816493,0.0003173446480412783,0.0012729376288849348,2.4044377434493214e-05,4.7145838106849444e-07,0
HUAQUIRCA,APURIMAC,0.0,3.0,1.0,0.0,1.0,9.0,14.0,21.0,3459.0,3494.0,0.0,3.5260516449030925e-05,1.1753505483010308e-05,0.0,1.1753505483010308e-05,0.00010578154934709277,0.0016307745401159222,6.600417334958922e-06,9.900626002438383e-06,0
HUAYANA,APURIMAC,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,286.0,300.0,0.0,0.0,0.0,0.0,0.0,1.1753505483010308e-05,0.0001348370969855894,4.7145838106849444e-07,6.128958953890427e-06,0
HUAYLLATI,APURIMAC,0.0,7.0,0.0,0.0,1.0,5.0,13.0,0.0,1863.0,1876.0,0.0,8.227453838107215e-05,0.0,0.0,1.1753505483010308e-05,5.876752741505154e-05,0.0008783269639306051,6.128958953890427e-06,0.0,0
HUAYLLO,APURIMAC,2.0,6.0,0.0,0.0,4.0,1.0,13.0,14.0,709.0,736.0,2.3507010966020617e-05,7.052103289806185e-05,0.0,0.0,4.701402193204123e-05,1.1753505483010308e-05,0.00033426399217756256,6.128958953890427e-06,6.600417334958922e-06,0
JOS� MAR�A ARGUEDAS,APURIMAC,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1455.0,1460.0,0.0,1.1753505483010308e-05,0.0,0.0,0.0,1.1753505483010308e-05,0.0006859719444546594,9.429167621369889e-07,1.4143751432054833e-06,0
JUAN ESPINOZA MEDRANO,APURIMAC,0.0,5.0,0.0,0.0,2.0,13.0,20.0,39.0,5667.0,5726.0,0.0,5.876752741505154e-05,0.0,0.0,2.3507010966020617e-05,0.000152795571279134,0.002671754645515158,9.429167621369888e-06,1.8386876861671282e-05,0
