Departamento,Distrito,SINDROME Y/O TRASTORNO PSICOTICO,TRASTORNO DE CONSUMO DE ALCOHOL,TRASTORNO DE CONSUMO DE DROGAS,TRASTORNO DE CONSUMO DE TABACO,TRASTORNO DEPRESIVO,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,SOLO TAMIZAJES POSITIVOS,TAMIZAJES C/CONDICION ADICIONAL VIOLENCIA POLITICA,TOTAL DE TAMIZAJES
ANCASH,ACOPAMPA,12.0,2.0,0.0,0.0,12.0,13.0,39.0,0.0,520.0
ANCASH,ANTA,0.0,8.0,0.0,3.0,0.0,7.0,18.0,0.0,854.0
ANCASH,ATAQUERO,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,815.0
ANCASH,CAJACAY,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,522.0
ANCASH,CARHUAZ,6.0,34.0,3.0,0.0,33.0,89.0,165.0,0.0,2552.0
ANCASH,CASCAPARA,0.0,6.0,0.0,0.0,0.0,6.0,12.0,0.0,337.0
ANCASH,CASMA,0.0,39.0,10.0,1.0,20.0,96.0,166.0,0.0,1951.0
ANCASH,CATAC,0.0,3.0,0.0,0.0,0.0,8.0,11.0,0.0,754.0
ANCASH,CHAVIN DE HUANTAR,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,536.0
ANCASH,CHIMBOTE,0.0,2.0,1.0,0.0,43.0,0.0,46.0,0.0,5605.0
ANCASH,CHIQUIAN,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,102.0
ANCASH,COISHCO,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,266.0
ANCASH,COLQUIOC,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,117.0
ANCASH,COTAPARACO,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,115.0
ANCASH,HUARAZ,43.0,24.0,9.0,4.0,58.0,110.0,248.0,0.0,2593.0
ANCASH,HUARMEY,0.0,7.0,1.0,0.0,155.0,95.0,258.0,0.0,1196.0
ANCASH,HUAYLLAN,2.0,1.0,0.0,0.0,2.0,1.0,6.0,0.0,249.0
ANCASH,INDEPENDENCIA,3.0,31.0,1.0,1.0,1.0,18.0,55.0,0.0,1790.0
ANCASH,JANGAS,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,195.0
ANCASH,MANCOS,2.0,4.0,0.0,1.0,7.0,7.0,21.0,0.0,316.0
ANCASH,MARCARA,0.0,12.0,0.0,0.0,9.0,5.0,26.0,0.0,1368.0
ANCASH,MATO,7.0,4.0,1.0,1.0,62.0,104.0,179.0,0.0,629.0
ANCASH,NUEVO CHIMBOTE,39.0,51.0,29.0,17.0,767.0,118.0,1021.0,1.0,12158.0
ANCASH,PACLLON,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,413.0
ANCASH,PARIAHUANCA,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,88.0
ANCASH,PAROBAMBA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,117.0
ANCASH,PAUCAS,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,452.0
ANCASH,PISCOBAMBA,0.0,1.0,0.0,0.0,0.0,6.0,7.0,0.0,572.0
