Anio,NroMes,ubigeo,Departamento,Provincia,Distrito,Sexo,Etapa,Diagnostico,Atendidos,Atenciones
2017,1,30401,APURIMAC,AYMARAES,CHALHUANCA,F,1 - 4,ABUSO PSICOLOGICO,0,1
2017,1,30401,APURIMAC,AYMARAES,CHALHUANCA,F,15 - 17,ABUSO PSICOLOGICO,0,1
2017,1,30401,APURIMAC,AYMARAES,CHALHUANCA,M,1 - 4,NEGLIGENCIA,0,1
2017,1,30401,APURIMAC,AYMARAES,CHALHUANCA,M,5 - 9,ABUSO FISICO,1,1
2017,1,110101,ICA,ICA,ICA,M,5 - 9,NEGLIGENCIA,1,1
2017,1,110305,ICA,NAZCA,VISTA ALEGRE,F,15 - 17,ABUSO SEXUAL,1,1
2017,1,210101,PUNO,PUNO,PUNO,F,15 - 17,ABUSO PSICOLOGICO,0,1
2017,1,210101,PUNO,PUNO,PUNO,F,15 - 17,ABUSO SEXUAL,1,2
2017,1,210101,PUNO,PUNO,PUNO,M,15 - 17,ABUSO PSICOLOGICO,1,1
2017,2,30401,APURIMAC,AYMARAES,CHALHUANCA,F,1 - 4,ABUSO PSICOLOGICO,0,1
2017,2,30401,APURIMAC,AYMARAES,CHALHUANCA,F,15 - 17,ABUSO PSICOLOGICO,0,1
2017,2,30401,APURIMAC,AYMARAES,CHALHUANCA,M,12 - 14,ABUSO PSICOLOGICO,0,1
2017,2,210101,PUNO,PUNO,PUNO,F,10 - 11,ABUSO PSICOLOGICO,1,1
2017,2,210101,PUNO,PUNO,PUNO,F,15 - 17,ABUSO FISICO,0,1
2017,2,210101,PUNO,PUNO,PUNO,F,15 - 17,ABUSO PSICOLOGICO,2,7
2017,2,210101,PUNO,PUNO,PUNO,M,12 - 14,ABUSO PSICOLOGICO,1,1
2017,2,210101,PUNO,PUNO,PUNO,M,15 - 17,ABUSO PSICOLOGICO,0,1
2017,3,80601,CUSCO,CANCHIS,SICUANI,F,1 - 4,NEGLIGENCIA,1,1
2017,3,80601,CUSCO,CANCHIS,SICUANI,F,10 - 11,ABUSO FISICO,0,1
2017,3,80601,CUSCO,CANCHIS,SICUANI,F,10 - 11,ABUSO PSICOLOGICO,0,1
2017,3,80601,CUSCO,CANCHIS,SICUANI,F,10 - 11,NEGLIGENCIA,0,1
2017,3,80601,CUSCO,CANCHIS,SICUANI,F,12 - 14,ABUSO PSICOLOGICO,1,1
2017,3,80601,CUSCO,CANCHIS,SICUANI,F,15 - 17,ABUSO PSICOLOGICO,0,2
2017,3,80601,CUSCO,CANCHIS,SICUANI,F,15 - 17,ABUSO SEXUAL,0,1
2017,3,80601,CUSCO,CANCHIS,SICUANI,F,15 - 17,NEGLIGENCIA,1,6
2017,3,80601,CUSCO,CANCHIS,SICUANI,F,5 - 9,ABUSO FISICO,0,1
2017,3,80601,CUSCO,CANCHIS,SICUANI,F,5 - 9,NEGLIGENCIA,0,1
2017,3,80601,CUSCO,CANCHIS,SICUANI,M,12 - 14,ABUSO FISICO,1,1
2017,3,80601,CUSCO,CANCHIS,SICUANI,M,12 - 14,NEGLIGENCIA,0,5
2017,3,80601,CUSCO,CANCHIS,SICUANI,M,15 - 17,ABUSO FISICO,0,1
2017,3,80601,CUSCO,CANCHIS,SICUANI,M,15 - 17,ABUSO PSICOLOGICO,1,1
2017,3,80601,CUSCO,CANCHIS,SICUANI,M,15 - 17,NEGLIGENCIA,0,1
2017,3,80601,CUSCO,CANCHIS,SICUANI,M,5 - 9,ABUSO PSICOLOGICO,1,1
2017,3,110101,ICA,ICA,ICA,F,5 - 9,ABUSO PSICOLOGICO,0,1
2017,3,110101,ICA,ICA,ICA,M,5 - 9,NEGLIGENCIA,0,1
2017,3,210101,PUNO,PUNO,PUNO,F,15 - 17,NEGLIGENCIA,0,1
2017,3,210101,PUNO,PUNO,PUNO,F,5 - 9,ABUSO PSICOLOGICO,1,1
2017,3,210101,PUNO,PUNO,PUNO,M,15 - 17,ABUSO PSICOLOGICO,0,1
2017,4,30401,APURIMAC,AYMARAES,CHALHUANCA,F,10 - 11,ABUSO SEXUAL,0,1
2017,4,80601,CUSCO,CANCHIS,SICUANI,F,1 - 4,NEGLIGENCIA,0,2
2017,4,80601,CUSCO,CANCHIS,SICUANI,F,10 - 11,ABUSO FISICO,0,2
2017,4,80601,CUSCO,CANCHIS,SICUANI,F,10 - 11,ABUSO PSICOLOGICO,0,1
2017,4,80601,CUSCO,CANCHIS,SICUANI,F,10 - 11,NEGLIGENCIA,0,1
2017,4,80601,CUSCO,CANCHIS,SICUANI,F,12 - 14,ABUSO PSICOLOGICO,0,2
2017,4,80601,CUSCO,CANCHIS,SICUANI,F,12 - 14,ABUSO SEXUAL,0,4
2017,4,80601,CUSCO,CANCHIS,SICUANI,F,12 - 14,NEGLIGENCIA,0,1
2017,4,80601,CUSCO,CANCHIS,SICUANI,F,15 - 17,ABUSO SEXUAL,0,5
2017,4,80601,CUSCO,CANCHIS,SICUANI,F,15 - 17,NEGLIGENCIA,0,5
2017,4,80601,CUSCO,CANCHIS,SICUANI,F,5 - 9,ABUSO PSICOLOGICO,0,3
2017,4,80601,CUSCO,CANCHIS,SICUANI,F,5 - 9,ABUSO SEXUAL,0,1
2017,4,80601,CUSCO,CANCHIS,SICUANI,F,5 - 9,NEGLIGENCIA,0,1
2017,4,80601,CUSCO,CANCHIS,SICUANI,M,10 - 11,NEGLIGENCIA,0,1
2017,4,80601,CUSCO,CANCHIS,SICUANI,M,12 - 14,ABUSO FISICO,0,1
2017,4,80601,CUSCO,CANCHIS,SICUANI,M,12 - 14,ABUSO PSICOLOGICO,0,5
2017,4,80601,CUSCO,CANCHIS,SICUANI,M,12 - 14,NEGLIGENCIA,0,2
2017,4,80601,CUSCO,CANCHIS,SICUANI,M,15 - 17,NEGLIGENCIA,0,2
2017,4,80601,CUSCO,CANCHIS,SICUANI,M,5 - 9,ABUSO PSICOLOGICO,0,3
2017,4,80601,CUSCO,CANCHIS,SICUANI,M,5 - 9,NEGLIGENCIA,0,2
2017,4,210101,PUNO,PUNO,PUNO,F,15 - 17,NEGLIGENCIA,0,1
2017,4,210101,PUNO,PUNO,PUNO,F,5 - 9,ABUSO PSICOLOGICO,0,1
2017,4,210101,PUNO,PUNO,PUNO,M,15 - 17,ABUSO PSICOLOGICO,0,1
2017,5,30401,APURIMAC,AYMARAES,CHALHUANCA,F,1 - 4,ABUSO PSICOLOGICO,0,1
2017,5,80601,CUSCO,CANCHIS,SICUANI,F,10 - 11,NEGLIGENCIA,0,4
2017,5,80601,CUSCO,CANCHIS,SICUANI,F,12 - 14,NEGLIGENCIA,0,1
2017,5,80601,CUSCO,CANCHIS,SICUANI,F,15 - 17,ABUSO FISICO,1,2
2017,5,80601,CUSCO,CANCHIS,SICUANI,F,15 - 17,ABUSO PSICOLOGICO,0,2
2017,5,80601,CUSCO,CANCHIS,SICUANI,F,15 - 17,ABUSO SEXUAL,0,2
2017,5,80601,CUSCO,CANCHIS,SICUANI,F,15 - 17,NEGLIGENCIA,0,8
2017,5,80601,CUSCO,CANCHIS,SICUANI,F,5 - 9,ABUSO PSICOLOGICO,0,2
2017,5,80601,CUSCO,CANCHIS,SICUANI,M,1 - 4,ABUSO FISICO,0,1
2017,5,80601,CUSCO,CANCHIS,SICUANI,M,1 - 4,ABUSO SEXUAL,0,1
2017,5,80601,CUSCO,CANCHIS,SICUANI,M,10 - 11,NEGLIGENCIA,0,1
2017,5,80601,CUSCO,CANCHIS,SICUANI,M,12 - 14,NEGLIGENCIA,0,3
2017,5,80601,CUSCO,CANCHIS,SICUANI,M,15 - 17,NEGLIGENCIA,0,2
2017,5,80601,CUSCO,CANCHIS,SICUANI,M,5 - 9,ABUSO PSICOLOGICO,0,1
2017,5,210101,PUNO,PUNO,PUNO,F,12 - 14,NEGLIGENCIA,1,1
2017,6,80601,CUSCO,CANCHIS,SICUANI,F,< 1,NEGLIGENCIA,0,4
2017,6,80601,CUSCO,CANCHIS,SICUANI,F,1 - 4,NEGLIGENCIA,0,5
2017,6,80601,CUSCO,CANCHIS,SICUANI,F,10 - 11,ABUSO FISICO,0,2
2017,6,80601,CUSCO,CANCHIS,SICUANI,F,12 - 14,ABUSO PSICOLOGICO,0,2
2017,6,80601,CUSCO,CANCHIS,SICUANI,F,15 - 17,ABUSO PSICOLOGICO,0,1
2017,6,80601,CUSCO,CANCHIS,SICUANI,F,15 - 17,ABUSO SEXUAL,0,2
2017,6,80601,CUSCO,CANCHIS,SICUANI,F,15 - 17,NEGLIGENCIA,0,4
2017,6,80601,CUSCO,CANCHIS,SICUANI,F,5 - 9,ABUSO FISICO,0,1
2017,6,80601,CUSCO,CANCHIS,SICUANI,F,5 - 9,ABUSO PSICOLOGICO,0,1
2017,6,80601,CUSCO,CANCHIS,SICUANI,M,< 1,NEGLIGENCIA,0,5
2017,6,80601,CUSCO,CANCHIS,SICUANI,M,1 - 4,NEGLIGENCIA,0,4
2017,6,80601,CUSCO,CANCHIS,SICUANI,M,10 - 11,NEGLIGENCIA,0,1
2017,6,80601,CUSCO,CANCHIS,SICUANI,M,12 - 14,ABUSO PSICOLOGICO,0,2
2017,6,80601,CUSCO,CANCHIS,SICUANI,M,12 - 14,NEGLIGENCIA,0,3
2017,6,80601,CUSCO,CANCHIS,SICUANI,M,15 - 17,ABUSO PSICOLOGICO,0,3
2017,6,80601,CUSCO,CANCHIS,SICUANI,M,5 - 9,ABUSO FISICO,0,2
2017,6,80601,CUSCO,CANCHIS,SICUANI,M,5 - 9,NEGLIGENCIA,0,1
2017,6,110101,ICA,ICA,ICA,F,5 - 9,ABUSO PSICOLOGICO,0,1
2017,6,210101,PUNO,PUNO,PUNO,F,10 - 11,ABUSO SEXUAL,0,2
2017,6,210101,PUNO,PUNO,PUNO,F,12 - 14,ABUSO PSICOLOGICO,0,2
2017,6,210101,PUNO,PUNO,PUNO,F,15 - 17,ABUSO PSICOLOGICO,1,1
2017,6,210101,PUNO,PUNO,PUNO,F,15 - 17,NEGLIGENCIA,0,4
2017,6,210101,PUNO,PUNO,PUNO,M,10 - 11,ABUSO PSICOLOGICO,0,1
2017,6,210101,PUNO,PUNO,PUNO,M,12 - 14,NEGLIGENCIA,0,7
2017,6,210101,PUNO,PUNO,PUNO,M,15 - 17,ABUSO PSICOLOGICO,0,1
2017,6,210101,PUNO,PUNO,PUNO,M,15 - 17,NEGLIGENCIA,0,1
2017,7,210101,PUNO,PUNO,PUNO,F,12 - 14,ABUSO PSICOLOGICO,0,1
2017,7,210101,PUNO,PUNO,PUNO,F,12 - 14,NEGLIGENCIA,0,2
2017,8,30401,APURIMAC,AYMARAES,CHALHUANCA,M,1 - 4,ABUSO PSICOLOGICO,0,1
2017,8,110101,ICA,ICA,ICA,M,5 - 9,ABUSO FISICO,0,1
